Company Name,Country,Sales,Profit,Assets
JPMorgan Chase,United States,179930000000.0,41800000000.0,3744300000000.0
Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,589470000000.0,156360000000.0,660990000000.0
ICBC,China,216770000000.0,52470000000.0,6116820000000.0
China Construction Bank,China,203080000000.0,48250000000.0,4977480000000.0
Agricultural Bank of China,China,186140000000.0,37920000000.0,5356860000000.0
Bank of America,United States,133840000000.0,28620000000.0,3194660000000.0
Alphabet,United States,282850000000.0,58590000000.0,369490000000.0
ExxonMobil,United States,393160000000.0,61690000000.0,369370000000.0
Microsoft,United States,207590000000.0,69020000000.0,380090000000.0
Apple,United States,385100000000.0,94320000000.0,332160000000.0
Shell,United Kingdom,365890000000.0,43510000000.0,429150000000.0
Bank of China,China,158230000000.0,33229999999.0,4421760000000.0
Toyota Motor,Japan,270490000000.0,18500000000.0,542500000000.0
Samsung Electronics,South Korea,220070000000.0,34490000000.0,348810000000.0
UnitedHealth Group,United States,335940000000.0,20700000000.0,283680000000.0
Ping An Insurance Group,China,166370000000.0,12640000000.0,1598490000000.0
Wells Fargo,United States,108930000000.0,14500000000.0,1886400000000.0
Chevron,United States,232120000000.0,35780000000.0,255890000000.0
PetroChina,China,457400000000.0,22180000000.0,384580000000.0
HSBC Holdings,United Kingdom,73980000000.0,22190000000.0,2989700000000.0
TotalEnergies,France,257589999999.0,21120000000.0,293030000000.0
Verizon Communications,United States,136190000000.0,21590000000.0,377720000000.0
Walmart,United States,611290000000.0,11680000000.0,243200000000.0
Citigroup,United States,120420000000.0,15020000000.0,2455110000000.0
China Mobile,Hong Kong,140530000000.0,18760000000.0,290000000000.0
China Merchants Bank,China,72440000000.0,20560000000.0,1458480000000.0
Postal Savings Bank Of China (PSBC),China,82510000000.0,12780000000.0,2023570000000.0
BP,United Kingdom,248110000000.0,25890000000.0,278660000000.0
Volkswagen Group,Germany,293470000000.0,15630000000.0,633780000000.0
Morgan Stanley,United States,74160000000.0,10340000000.0,1199900000000.0
Meta Platforms,United States,117350000000.0,21440000000.0,184490000000.0
Sinopec,China,453560000000.0,9850000000.0,283300000000.0
BNP Paribas,France,99470000000.0,10110000000.0,2845690000000.0
Goldman Sachs Group,United States,79450000000.0,10560000000.0,1538350000000.0
Tencent Holdings,China,82410000000.0,27260000000.0,227010000000.0
Amazon,United States,524900000000.0,4290000000.0,464380000000.0
Allianz,Germany,134259999999.0,7080000000.0,1139490000000.0
RBC,Canada,60220000000.0,11400000000.0,1448660000000.0
Pfizer,United States,92950000000.0,29040000000.0,197210000000.0
Johnson & Johnson,United States,96310000000.0,12720000000.0,195970000000.0
Deutsche Telekom,Germany,120720000000.0,8410000000.0,342620000000.0
Mercedes-Benz Group,Germany,158780000000.0,15550000000.0,286000000000.0
TD Bank Group,Canada,56720000000.0,11680000000.0,1445110000000.0
Taiwan Semiconductor,Taiwan,75030000000.0,33570000000.0,165720000000.0
Reliance Industries,India,109430000000.0,8300000000.0,208500000000.0
BMW Group,Germany,154250000000.0,11670000000.0,268980000000.0
LVMH Moët Hennessy Louis Vuitton,France,83220000000.0,14800000000.0,143700000000.0
AXA Group,France,110920000000.0,6830000000.0,701250000000.0
Santander,Spain,87740000000.0,10090000000.0,1900640000000.0
Nestlé,Switzerland,98870000000.0,9710000000.0,146110000000.0
Comcast,United States,120110000000.0,5660000000.0,259430000000.0
Equinor,Norway,141920000000.0,28980000000.0,152490000000.0
Bank of Communications,China,78290000000.0,12900000000.0,1868960000000.0
Alibaba Group,China,128259999999.0,4460000000.0,254930000000.0
Procter & Gamble,United States,80970000000.0,14320000000.0,119850000000.0
Nippon Telegraph & Tel,Japan,97360000000.0,9000000000.0,190660000000.0
Sony,Japan,85150000000.0,6920000000.0,240750000000.0
Petrobras,Brazil,124170000000.0,36470000000.0,184990000000.0
Glencore International,Switzerland,254930000000.0,16980000000.0,132580000000.0
Industrial Bank,China,59080000000.0,12970000000.0,1430040000000.0
Stellantis,Netherlands,188750000000.0,17660000000.0,198680000000.0
China Life Insurance,China,124430000000.0,4870000000.0,754950000000.0
American Express,United States,59290000000.0,7180000000.0,235840000000.0
General Electric,United States,74020000000.0,8560000000.0,164470000000.0
CVS Health,United States,331170000000.0,3970000000.0,239330000000.0
China State Construction Engineering,China,303780000000.0,7700000000.0,394940000000.0
The Home Depot,United States,157400000000.0,17110000000.0,76440000000.0
Cigna,United States,182800000000.0,6750000000.0,142690000000.0
Tesla,United States,86030000000.0,11790000000.0,86830000000.0
General Motors,United States,160740000000.0,9390000000.0,267000000000.0
CITIC,Hong Kong,98480000000.0,9640000000.0,1511120000000.0
Anheuser-Busch InBev,Belgium,57830000000.0,6060000000.0,214820000000.0
Merck & Co.,United States,57090000000.0,13030000000.0,107800000000.0
AbbVie,United States,56740000000.0,7540000000.0,134539999999.0
Mitsubishi,Japan,161020000000.0,9490000000.0,171080000000.0
Roche Holding,Switzerland,66260000000.0,13010000000.0,95280000000.0
State Bank of India,India,56540000000.0,5990000000.0,695200000000.0
Elevance Health,United States,160670000000.0,6210000000.0,109040000000.0
Raytheon Technologies,United States,68569999999.0,5540000000.0,161640000000.0
Oracle,United States,47960000000.0,8369999999.0,131620000000.0
Eni,Italy,132380000000.0,13120000000.0,154130000000.0
PepsiCo,United States,88050000000.0,6580000000.0,93040000000.0
ConocoPhillips,United States,75200000000.0,15840000000.0,91440000000.0
Bank of Montreal,Canada,37560000000.0,8289999999.0,858630000000.0
CNOOC,Hong Kong,59080000000.0,21090000000.0,133639999999.0
Sumitomo Mitsui Financial,Japan,41540000000.0,6450000000.0,2005650000000.0
Walt Disney,United States,84070000000.0,3320000000.0,202120000000.0
Bank of Nova Scotia,Canada,40240000000.0,6880000000.0,1030040000000.0
Sanofi,France,45190000000.0,8800000000.0,135240000000.0
BHP Group,Australia,59950000000.0,19510000000.0,87820000000.0
Mitsubishi UFJ Financial,Japan,60220000000.0,3070000000.0,2966290000000.0
